Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,1.879000,1.879000,1.879000,1.879000,1.879000,0
2023-03-02,1.865000,1.865000,1.865000,1.865000,1.865000,0
2023-03-03,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-03-06,1.867000,1.867000,1.867000,1.867000,1.867000,0
2023-03-07,1.872000,1.872000,1.872000,1.872000,1.872000,0
2023-03-08,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-03-09,1.856000,1.856000,1.856000,1.856000,1.856000,0
2023-03-10,1.833000,1.833000,1.833000,1.833000,1.833000,0
2023-03-13,1.811000,1.811000,1.811000,1.811000,1.811000,0
2023-03-14,1.809000,1.809000,1.809000,1.809000,1.809000,0
2023-03-15,1.831000,1.831000,1.831000,1.831000,1.831000,0
2023-03-16,1.824000,1.824000,1.824000,1.824000,1.824000,0
2023-03-17,1.843000,1.843000,1.843000,1.843000,1.843000,0
2023-03-20,1.818000,1.818000,1.818000,1.818000,1.818000,0
2023-03-21,1.836000,1.836000,1.836000,1.836000,1.836000,0
2023-03-22,1.859000,1.859000,1.859000,1.859000,1.859000,0
2023-03-23,1.859000,1.859000,1.859000,1.859000,1.859000,0
2023-03-24,1.855000,1.855000,1.855000,1.855000,1.855000,0
2023-03-27,1.867000,1.867000,1.867000,1.867000,1.867000,0
2023-03-28,1.878000,1.878000,1.878000,1.878000,1.878000,0
2023-03-29,1.883000,1.883000,1.883000,1.883000,1.883000,0
2023-03-30,1.882000,1.882000,1.882000,1.882000,1.882000,0
2023-03-31,1.882000,1.882000,1.882000,1.882000,1.882000,0
2023-04-03,1.892000,1.892000,1.892000,1.892000,1.892000,0
2023-04-04,1.909000,1.909000,1.909000,1.909000,1.909000,0
2023-04-05,1.912000,1.912000,1.912000,1.912000,1.912000,0
2023-04-06,1.902000,1.902000,1.902000,1.902000,1.902000,0
2023-04-10,1.905000,1.905000,1.905000,1.905000,1.905000,0
2023-04-11,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-04-12,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-04-13,1.903000,1.903000,1.903000,1.903000,1.903000,0
2023-04-14,null,null,null,null,null,null
2023-04-17,1.915000,1.915000,1.915000,1.915000,1.915000,0
2023-04-18,1.910000,1.910000,1.910000,1.910000,1.910000,0
2023-04-19,1.918000,1.918000,1.918000,1.918000,1.918000,0
2023-04-20,1.911000,1.911000,1.911000,1.911000,1.911000,0
2023-04-21,1.916000,1.916000,1.916000,1.916000,1.916000,0
2023-04-24,1.915000,1.915000,1.915000,1.915000,1.915000,0
2023-04-25,1.900000,1.900000,1.900000,1.900000,1.900000,0
2023-04-26,1.899000,1.899000,1.899000,1.899000,1.899000,0
2023-04-27,1.894000,1.894000,1.894000,1.894000,1.894000,0
2023-04-28,1.896000,1.896000,1.896000,1.896000,1.896000,0
2023-05-02,1.904000,1.904000,1.904000,1.904000,1.904000,0
2023-05-03,1.893000,1.893000,1.893000,1.893000,1.893000,0
2023-05-04,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-05-05,null,null,null,null,null,null
2023-05-08,1.903000,1.903000,1.903000,1.903000,1.903000,0
2023-05-09,1.899000,1.899000,1.899000,1.899000,1.899000,0
2023-05-10,1.899000,1.899000,1.899000,1.899000,1.899000,0
2023-05-11,1.893000,1.893000,1.893000,1.893000,1.893000,0
2023-05-12,1.881000,1.881000,1.881000,1.881000,1.881000,0
2023-05-15,1.886000,1.886000,1.886000,1.886000,1.886000,0
2023-05-16,1.882000,1.882000,1.882000,1.882000,1.882000,0
2023-05-17,1.857000,1.857000,1.857000,1.857000,1.857000,0
2023-05-18,1.862000,1.862000,1.862000,1.862000,1.862000,0
2023-05-19,1.871000,1.871000,1.871000,1.871000,1.871000,0
2023-05-22,1.873000,1.873000,1.873000,1.873000,1.873000,0
2023-05-23,1.879000,1.879000,1.879000,1.879000,1.879000,0
2023-05-24,1.879000,1.879000,1.879000,1.879000,1.879000,0
2023-05-25,1.878000,1.878000,1.878000,1.878000,1.878000,0
2023-05-26,1.873000,1.873000,1.873000,1.873000,1.873000,0
2023-05-29,1.867000,1.867000,1.867000,1.867000,1.867000,0
2023-05-30,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-05-31,1.846000,1.846000,1.846000,1.846000,1.846000,0
2023-06-01,1.850000,1.850000,1.850000,1.850000,1.850000,0
2023-06-05,1.861000,1.861000,1.861000,1.861000,1.861000,0
2023-06-06,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-06-07,1.858000,1.858000,1.858000,1.858000,1.858000,0
2023-06-08,1.863000,1.863000,1.863000,1.863000,1.863000,0
2023-06-09,1.861000,1.861000,1.861000,1.861000,1.861000,0
2023-06-12,1.867000,1.867000,1.867000,1.867000,1.867000,0
2023-06-13,1.862000,1.862000,1.862000,1.862000,1.862000,0
2023-06-14,1.879000,1.879000,1.879000,1.879000,1.879000,0
2023-06-15,1.891000,1.891000,1.891000,1.891000,1.891000,0
2023-06-16,1.903000,1.903000,1.903000,1.903000,1.903000,0
2023-06-19,1.892000,1.892000,1.892000,1.892000,1.892000,0
2023-06-20,1.884000,1.884000,1.884000,1.884000,1.884000,0
2023-06-21,1.882000,1.882000,1.882000,1.882000,1.882000,0
2023-06-22,1.881000,1.881000,1.881000,1.881000,1.881000,0
2023-06-23,1.865000,1.865000,1.865000,1.865000,1.865000,0
2023-06-26,1.862000,1.862000,1.862000,1.862000,1.862000,0
2023-06-27,1.868000,1.868000,1.868000,1.868000,1.868000,0
2023-06-28,1.871000,1.871000,1.871000,1.871000,1.871000,0
2023-06-30,1.869000,1.869000,1.869000,1.869000,1.869000,0
2023-07-03,1.871000,1.871000,1.871000,1.871000,1.871000,0
2023-07-04,1.869000,1.869000,1.869000,1.869000,1.869000,0
2023-07-05,1.860000,1.860000,1.860000,1.860000,1.860000,0
2023-07-06,1.840000,1.840000,1.840000,1.840000,1.840000,0
2023-07-07,1.834000,1.834000,1.834000,1.834000,1.834000,0
2023-07-10,1.839000,1.839000,1.839000,1.839000,1.839000,0
2023-07-11,1.848000,1.848000,1.848000,1.848000,1.848000,0
2023-07-12,1.853000,1.853000,1.853000,1.853000,1.853000,0
2023-07-13,1.890000,1.890000,1.890000,1.890000,1.890000,0
2023-07-14,1.896000,1.896000,1.896000,1.896000,1.896000,0
2023-07-17,1.898000,1.898000,1.898000,1.898000,1.898000,0
2023-07-18,1.896000,1.896000,1.896000,1.896000,1.896000,0
